"Sample" "Tissue" "Condition"
"341" "GSM3985602" "RPE_Macula" "Control"
"342" "GSM3985603" "Retina_non-Macula" "Control"
"343" "GSM3985604" "Retina_non-Macula" "Control"
"344" "GSM3985605" "Retina_Macula" "Control"
"345" "GSM3985606" "Retina_Macula" "Control"
"346" "GSM3985607" "RPE_Macula" "Control"
"347" "GSM3985608" "RPE_Macula" "Control"
"348" "GSM3985609" "RPE_non-Macula" "Control"
"349" "GSM3985610" "Retina_non-Macula" "Control"
"350" "GSM3985611" "Retina_non-Macula" "Control"
"351" "GSM3985612" "RPE_non-Macula" "Control"
"352" "GSM3985613" "RPE_non-Macula" "Control"
"353" "GSM3985614" "RPE_non-Macula" "Control"
"354" "GSM3985615" "RPE_non-Macula" "Control"
"355" "GSM3985616" "Retina_Macula" "Control"
"356" "GSM3985617" "RPE_Macula" "Control"
"357" "GSM3985618" "RPE_Macula" "Control"
"358" "GSM3985619" "RPE_non-Macula" "Control"
"359" "GSM3985620" "RPE_non-Macula" "Control"
"360" "GSM3985621" "Retina_non-Macula" "AMD"
"361" "GSM3985622" "RPE_non-Macula" "Control"
"362" "GSM3985623" "RPE_non-Macula" "Control"
"363" "GSM3985624" "Retina_Macula" "Control"
"364" "GSM3985625" "Retina_non-Macula" "Control"
"365" "GSM3985626" "Retina_non-Macula" "Control"
"366" "GSM3985627" "RPE_Macula" "AMD"
"367" "GSM3985628" "Retina_non-Macula" "Control"
"368" "GSM3985629" "RPE_Macula" "Control"
"369" "GSM3985630" "RPE_Macula" "Control"
"370" "GSM3985631" "Retina_Macula" "Control"
"371" "GSM3985632" "Retina_non-Macula" "Control"
"372" "GSM3985633" "RPE_non-Macula" "Control"
"373" "GSM3985634" "Retina_Macula" "Control"
"374" "GSM3985635" "Retina_non-Macula" "Control"
"375" "GSM3985636" "Retina_Macula" "Control"
"376" "GSM3985637" "RPE_Macula" "Control"
"377" "GSM3985638" "RPE_non-Macula" "AMD"
"378" "GSM3985640" "RPE_Macula" "AMD"
"379" "GSM3985641" "Retina_non-Macula" "Control"
"380" "GSM3985643" "RPE_Macula" "Control"
"381" "GSM3985645" "RPE_Macula" "Control"
"382" "GSM3985647" "Retina_non-Macula" "AMD"
"383" "GSM3985649" "Retina_non-Macula" "Control"
"384" "GSM3985651" "Retina_Macula" "Control"
"385" "GSM3985653" "RPE_non-Macula" "Control"
"386" "GSM3985655" "Retina_Macula" "Control"
"387" "GSM3985657" "RPE_non-Macula" "Control"
"388" "GSM3985660" "Retina_Macula" "Control"
"389" "GSM3985662" "Retina_non-Macula" "Control"
"390" "GSM3985664" "Retina_non-Macula" "Control"
"391" "GSM3985666" "Retina_non-Macula" "Control"
"392" "GSM3985668" "Retina_Macula" "AMD"
"393" "GSM3985670" "RPE_non-Macula" "Control"
"394" "GSM3985672" "Retina_Macula" "Control"
"395" "GSM3985674" "Retina_Macula" "AMD"
"396" "GSM3985676" "Retina_non-Macula" "AMD"
"397" "GSM3985677" "RPE_non-Macula" "Control"
"398" "GSM3985678" "RPE_Macula" "AMD"
"399" "GSM3985679" "Retina_Macula" "Control"
"400" "GSM3985680" "RPE_Macula" "Control"
"401" "GSM3985681" "Retina_Macula" "Control"
"402" "GSM3985682" "Retina_non-Macula" "AMD"
"403" "GSM3985683" "RPE_Macula" "Control"
"404" "GSM3985684" "Retina_Macula" "Control"
"405" "GSM3985685" "RPE_non-Macula" "AMD"
"406" "GSM3985686" "RPE_non-Macula" "Control"
"407" "GSM3985687" "Retina_Macula" "Control"
"408" "GSM3985688" "RPE_Macula" "Control"
"409" "GSM3985689" "Retina_Macula" "AMD"
"410" "GSM3985690" "Retina_Macula" "AMD"
"411" "GSM3985691" "RPE_Macula" "Control"
"412" "GSM3985692" "Retina_Macula" "Control"
"413" "GSM3985693" "RPE_Macula" "Control"
"414" "GSM3985694" "RPE_Macula" "Control"
"415" "GSM3985695" "Retina_Macula" "Control"
"416" "GSM3985696" "Retina_Macula" "Control"
"417" "GSM3985697" "RPE_non-Macula" "Control"
"418" "GSM3985698" "RPE_non-Macula" "Control"
"419" "GSM3985699" "RPE_Macula" "Control"
"420" "GSM3985700" "RPE_non-Macula" "Control"
